A,A,B,A,A,B,A,A,A,B,A,A,A,A,B,A,A,A,A,B,B,B,A,A,A,A,B
A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,B,A,C,A,A,A,A,A,B
A,B,A,A,A,A,B,A,B,A,A,A,A,B,A,B,B,A,C,B,B,A,B,A,B,A,C
B,D,C,A,B,C,B,A,D,B,B,C,A,D,C,B,D,B,D,D,D,B,B,B,B,B,C
A,B,C,B,A,B,B,A,B,B,A,A,B,B,D,B,B,B,C,A,B,B,A,B,A,A,D
C,E,D,B AND C,D,E,D,C,B,C,E,B,E,D,D,C,C,C,C,C,E,E,D,C,D,E,C
B,D,A,A,C,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,A,B
B,A,C,C,A,A,B,A,B,D,A,B,A,D,C,A,A,A,B,B,A,A,A,B,A,C,B
B,A,B,B,B,B,B,B,A,B,B,B,B,A,B,B,B,B,B,B,A,B,B,B,B,B,A
A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,B
A,C,A,D,A,A,C,B,B,A,A,A,B,A,B,A,C,D,D,D,,C,A,A,B,B,B
D,E,D,E,E,E,B,A,E,E,B,D,A,E,B,E,E,E,E,E,E,B,D,D,B,B,E
