1,A,A,A,A,B,A,A,A,B,B,B,A,A,A,B,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A
2,A,A,A,A,C,A,A,A,A,B,B,B,A,A,A,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A
3,B,B,A,B,D,B,C,B,B,B,B,B,D,B,A,C,C,B,C,B,A,A,C,A,A,C,B,B,A,B
4,C,B,C,A,B,D,D,B,B,D,B,B,C,D,B,D,D,D,D,B,B,D,D,A,B,B,D,E,D,D
5,A,B,A,A,A,A,A,A,D,A,A,B,A,B,B,C,B,B,D,B,A,A,B,A,A,B,A,B,B,A
6,E,B,E,C,A,B,C,C,C,C,C,C,E,C,D,C,D,C,C,D,E,E,D,E,C,D,E,E,D,D
7,B,B,B,A,A,A,A,A,B,B,B,B,A,B,B,C,C,A,C,A,B,B,C,B,B,B,A,A,B,A
8,A,B,A,C,D,A,B,A,A,B,B,B,B,B,A,C,B,B,A,D,B,B,A,B,B,B,B,B,D,C
9,A,B,B,A,A,A,D,D,B,A,D,A,D,A,A,A,D,B,D,A,B,C,A,A,B,D,A,D,D,D
10,A,B,A,E,E,A,E,D,B,E,C,A,D,C,A,E,B,D,A,B,E,D,C,E,B,B,B,E,A,A
